;Content ID;Reaction Type;Datetime (Day);Datetime ( Time);Content Type;Category;Sentiment;Score;;;
0;97522e57-d9ab-4bd6-97bf-c24d952602d2;disgust;11-Jul-20;9:43 AM;photo;studying;negative;0;;;
1;97522e57-d9ab-4bd6-97bf-c24d952602d2;dislike;12-Jul-20;10:43 AM;photo;studying;negative;10;;;
2;97522e57-d9ab-4bd6-97bf-c24d952602d2;scared;13-Jul-20;11:43 AM;photo;studying;negative;15;;;
3;97522e57-d9ab-4bd6-97bf-c24d952602d2;disgust;14-Jul-20;12:43 PM;photo;studying;negative;0;;;#N/A
4;97522e57-d9ab-4bd6-97bf-c24d952602d2;interested;15-Jul-20;1:43 PM;photo;studying;positive;30;;;
5;97522e57-d9ab-4bd6-97bf-c24d952602d2;peeking;16-Jul-20;2:43 PM;photo;studying;neutral;35;;;
6;97522e57-d9ab-4bd6-97bf-c24d952602d2;cherish;17-Jul-20;3:43 PM;photo;studying;positive;70;;;
7;97522e57-d9ab-4bd6-97bf-c24d952602d2;hate;18-Jul-20;4:43 PM;photo;studying;negative;5;;;
8;97522e57-d9ab-4bd6-97bf-c24d952602d2;peeking;19-Jul-20;5:43 PM;photo;studying;neutral;35;;;
9;97522e57-d9ab-4bd6-97bf-c24d952602d2;love;20-Jul-20;6:43 PM;photo;studying;positive;65;;;
10;97522e57-d9ab-4bd6-97bf-c24d952602d2;indifferent;21-Jul-20;7:43 PM;photo;studying;neutral;20;;;
11;97522e57-d9ab-4bd6-97bf-c24d952602d2;scared;22-Jul-20;8:43 PM;photo;studying;negative;15;;;
12;97522e57-d9ab-4bd6-97bf-c24d952602d2;interested;23-Jul-20;9:43 PM;photo;studying;positive;30;;;
13;97522e57-d9ab-4bd6-97bf-c24d952602d2;hate;24-Jul-20;10:43 PM;photo;studying;negative;5;;;
14;97522e57-d9ab-4bd6-97bf-c24d952602d2;scared;25-Jul-20;11:43 PM;photo;studying;negative;15;;;
15;97522e57-d9ab-4bd6-97bf-c24d952602d2;super love;26-Jul-20;12:43 AM;photo;studying;positive;75;;;
16;97522e57-d9ab-4bd6-97bf-c24d952602d2;peeking;27-Jul-20;1:43 AM;photo;studying;neutral;35;;;
17;97522e57-d9ab-4bd6-97bf-c24d952602d2;indifferent;28-Jul-20;2:43 AM;photo;studying;neutral;20;;;
18;97522e57-d9ab-4bd6-97bf-c24d952602d2;interested;29-Jul-20;3:43 AM;photo;studying;positive;30;;;
19;97522e57-d9ab-4bd6-97bf-c24d952602d2;intrigued;30-Jul-20;4:43 AM;photo;studying;positive;45;;;
20;97522e57-d9ab-4bd6-97bf-c24d952602d2;peeking;31-Jul-20;5:43 AM;photo;studying;neutral;35;;;
21;97522e57-d9ab-4bd6-97bf-c24d952602d2;worried;1-Aug-20;6:43 AM;photo;studying;negative;12;;;
22;97522e57-d9ab-4bd6-97bf-c24d952602d2;like;2-Aug-20;7:43 AM;photo;studying;positive;50;;;
23;97522e57-d9ab-4bd6-97bf-c24d952602d2;heart;3-Aug-20;8:43 AM;photo;studying;positive;60;;;
24;97522e57-d9ab-4bd6-97bf-c24d952602d2;worried;4-Aug-20;9:43 AM;photo;studying;negative;12;;;
25;97522e57-d9ab-4bd6-97bf-c24d952602d2;hate;5-Aug-20;10:43 AM;photo;studying;negative;5;;;
26;97522e57-d9ab-4bd6-97bf-c24d952602d2;hate;6-Aug-20;11:43 AM;photo;studying;negative;5;;;
27;97522e57-d9ab-4bd6-97bf-c24d952602d2;cherish;7-Aug-20;12:43 PM;photo;studying;positive;70;;;
28;97522e57-d9ab-4bd6-97bf-c24d952602d2;super love;8-Aug-20;1:43 PM;photo;studying;positive;75;;;
29;97522e57-d9ab-4bd6-97bf-c24d952602d2;intrigued;9-Aug-20;2:43 PM;photo;studying;positive;45;;;
30;97522e57-d9ab-4bd6-97bf-c24d952602d2;scared;10-Aug-20;3:43 PM;photo;studying;negative;15;;;
31;97522e57-d9ab-4bd6-97bf-c24d952602d2;interested;11-Aug-20;4:43 PM;photo;studying;positive;30;;;
32;97522e57-d9ab-4bd6-97bf-c24d952602d2;indifferent;12-Aug-20;5:43 PM;photo;studying;neutral;20;;;
33;97522e57-d9ab-4bd6-97bf-c24d952602d2;super love;13-Aug-20;6:43 PM;photo;studying;positive;75;;;
34;97522e57-d9ab-4bd6-97bf-c24d952602d2;disgust;14-Aug-20;7:43 PM;photo;studying;negative;0;;;
